r,m,P
3329570.0,1.471109030883923e+30,9.859174582144188e+27
3339570.0,1.4843470109141502e+30,9.858334252808858e+27
3349570.0,1.4976636572089913e+30,9.857491489595096e+27
3359570.0,1.5110591951860726e+30,9.856646293266597e+27
3369570.0,1.524533850173305e+30,9.855798664589184e+27
3379570.0,1.5380878474086355e+30,9.854948604330807e+27
3389570.0,1.551721412039798e+30,9.854096113261546e+27
3399570.0,1.5654347691240634e+30,9.853241192153601e+27
3409570.0,1.5792281436279905e+30,9.852383841781298e+27
3419570.0,1.5931017604271786e+30,9.851524062921087e+27
3429570.0,1.6070558443060174e+30,9.850661856351534e+27
3439570.0,1.621090619957439e+30,9.849797222853329e+27
3449570.0,1.63520631198267e+30,9.848930163209277e+27
3459570.0,1.6494031448909828e+30,9.848060678204302e+27
3469570.0,1.6636813430994476e+30,9.847188768625441e+27
3479570.0,1.6780411309326852e+30,9.846314435261846e+27
3489570.0,1.692482732622618e+30,9.845437678904781e+27
3499570.0,1.7070063723082246e+30,9.844558500347623e+27
3509570.0,1.7216122740352902e+30,9.843676900385855e+27
3519570.0,1.7363006617561613e+30,9.842792879817072e+27
3529570.0,1.751071759329497e+30,9.841906439440972e+27
3539570.0,1.765925790520024e+30,9.841017580059364e+27
3549570.0,1.7808629789982883e+30,9.840126302476155e+27
3559570.0,1.7958835483404096e+30,9.839232607497359e+27
3569570.0,1.810987722027835e+30,9.838336495931088e+27
3579570.0,1.8261757234470927e+30,9.837437968587557e+27
3589570.0,1.8414477758895453e+30,9.836537026279076e+27
3599570.0,1.8568041025511453e+30,9.835633669820055e+27
3609570.0,1.8722449265321882e+30,9.834727900026998e+27
3619570.0,1.8877704708370678e+30,9.833819717718503e+27
3629570.0,1.903380958374031e+30,9.832909123715259e+27
3639570.0,1.9190766119549318e+30,9.831996118840051e+27
3649570.0,1.9348576542949872e+30,9.83108070391775e+27
3659570.0,1.9507243080125323e+30,9.830162879775313e+27
3669570.0,1.966676795628775e+30,9.829242647241791e+27
3679570.0,1.982715339567552e+30,9.828320007148313e+27
3689570.0,1.998840162155085e+30,9.827394960328096e+27
3699570.0,2.015051485619736e+30,9.826467507616439e+27
3709570.0,2.0313495320917637e+30,9.825537649850721e+27
3719570.0,2.047734523603079e+30,9.824605387870401e+27
3729570.0,2.0642066820870026e+30,9.823670722517014e+27
3739570.0,2.0807662293780207e+30,9.822733654634176e+27
3749570.0,2.0974133872115423e+30,9.821794185067573e+27
3759570.0,2.114148377223656e+30,9.820852314664969e+27
3769570.0,2.1309714209508865e+30,9.819908044276197e+27
3779570.0,2.1478827398299534e+30,9.818961374753163e+27
3789570.0,2.1648825551975274e+30,9.818012306949838e+27
3799570.0,2.181971088289988e+30,9.817060841722266e+27
3809570.0,2.1991485602431822e+30,9.816106979928552e+27
3819570.0,2.2164151920921818e+30,9.815150722428871e+27
3829570.0,2.2337712047710418e+30,9.814192070085455e+27
3839570.0,2.251216819112559e+30,9.813231023762602e+27
3849570.0,2.2687522558480297e+30,9.812267584326668e+27
3859570.0,2.2863777356070104e+30,9.811301752646068e+27
3869570.0,2.3040934789170742e+30,9.810333529591275e+27
3879570.0,2.3218997062035716e+30,9.809362916034815e+27
3889570.0,2.3397966377893895e+30,9.808389912851271e+27
3899570.0,2.3577844938947105e+30,9.807414520917274e+27
3909570.0,2.375863494636772e+30,9.806436741111511e+27
3919570.0,2.394033860029627e+30,9.805456574314716e+27
3929570.0,2.412295809983904e+30,9.80447402140967e+27
3939570.0,2.4306495643065666e+30,9.8034890832812e+27
3949570.0,2.449095342700674e+30,9.80250176081618e+27
3959570.0,2.467633364765142e+30,9.801512054903526e+27
3969570.0,2.4862638499945037e+30,9.800519966434193e+27
3979570.0,2.5049870177786699e+30,9.79952549630118e+27
3989570.0,2.5238030874026906e+30,9.798528645399522e+27
3999570.0,2.5427122780465165e+30,9.797529414626292e+27
4009570.0,2.5617148087847604e+30,9.796527804880598e+27
4019570.0,2.5808108985864586e+30,9.795523817063581e+27
4029570.0,2.600000766314833e+30,9.794517452078414e+27
4039570.0,2.6192846307270535e+30,9.793508710830303e+27
4049570.0,2.638662710473999e+30,9.792497594226479e+27
4059570.0,2.6581352241000217e+30,9.791484103176205e+27
4069570.0,2.6777023900427083e+30,9.790468238590765e+27
4079570.0,2.6973644266326433e+30,9.789450001383471e+27
4089570.0,2.717121552093172e+30,9.788429392469656e+27
4099570.0,2.7369739845401636e+30,9.787406412766675e+27
4109570.0,2.7569219419817747e+30,9.7863810631939e+27
4119570.0,2.776965642318213e+30,9.785353344672722e+27
4129570.0,2.7971053033415007e+30,9.78432325812655e+27
4139570.0,2.817341142735239e+30,9.783290804480806e+27
4149570.0,2.837673378074372e+30,9.782255984662925e+27
4159570.0,2.85810222682495e+30,9.781218799602352e+27
4169570.0,2.8786279063438964e+30,9.780179250230545e+27
4179570.0,2.89925063387877e+30,9.779137337480966e+27
4189570.0,2.919970626567532e+30,9.778093062289087e+27
4199570.0,2.9407881014383086e+30,9.777046425592384e+27
4209570.0,2.9617032754091594e+30,9.775997428330333e+27
4219570.0,2.982716365287841e+30,9.774946071444418e+27
4229570.0,3.003827587771572e+30,9.773892355878115e+27
4239570.0,3.025037159446801e+30,9.772836282576904e+27
4249570.0,3.046345296788972e+30,9.771777852488261e+27
4259570.0,3.0677522161622886e+30,9.770717066561654e+27
